a_id,x,y,species
1546,154,176,carnivore
1703,64,151,livestock
1956,13,244,herbivore
1438,271,18,herbivore
1812,180,107,livestock
2291,211,248,herbivore
1370,292,278,herbivore
1437,272,14,herbivore
1662,269,222,livestock
1704,73,150,livestock
1663,266,238,livestock
1646,85,229,livestock
1823,180,92,livestock
1373,196,37,herbivore
1356,28,23,herbivore
1466,156,70,herbivore
1739,103,161,livestock
1625,180,153,livestock
1669,211,192,livestock
1814,180,96,livestock
1388,282,161,herbivore
1570,270,94,livestock
1745,106,156,livestock
1574,160,143,livestock
1338,232,204,herbivore
1636,187,186,livestock
1342,16,247,herbivore
1725,166,137,livestock
1526,296,173,carnivore
1769,176,253,livestock
1504,176,254,carnivore
1374,41,38,herbivore
1807,191,91,livestock
1724,172,124,livestock
1604,210,209,livestock
1341,19,279,herbivore
1753,105,167,livestock
1621,171,147,livestock
1497,49,51,herbivore
1819,187,101,livestock
1521,99,160,carnivore
2234,179,285,herbivore
1670,217,192,livestock
1672,220,182,livestock
1808,192,101,livestock
1661,268,228,livestock
1610,205,219,livestock
2161,181,150,livestock
2279,258,47,livestock
1357,6,59,herbivore
2724,259,53,livestock
1580,153,132,livestock
1635,186,187,livestock
1678,220,187,livestock
1336,181,69,herbivore
1612,208,208,livestock
2082,143,111,carnivore
2241,181,185,livestock
1448,131,224,herbivore
2536,186,90,livestock
1304,280,113,herbivore
1578,149,133,livestock
1372,1,297,herbivore
1475,147,212,herbivore
1585,148,135,livestock
1783,152,171,livestock
1378,198,153,herbivore
1719,171,137,livestock
1325,92,124,herbivore
1354,264,141,herbivore
1559,97,135,livestock
1818,195,107,livestock
2122,65,219,herbivore
2756,54,179,livestock
1313,70,188,herbivore
2058,49,268,herbivore
1362,15,171,herbivore
1326,5,61,herbivore
1449,182,76,herbivore
2675,281,49,herbivore
1302,297,177,herbivore
2709,88,43,herbivore
1637,182,184,livestock
1395,102,120,herbivore
1344,240,234,herbivore
1698,64,146,livestock
1811,193,98,livestock
1333,32,119,herbivore
1458,249,269,herbivore
1732,180,123,livestock
2067,210,210,livestock
1714,158,32,livestock
1494,160,166,herbivore
1642,90,227,livestock
1398,69,235,herbivore
2301,199,99,livestock
1582,148,131,livestock
1319,231,232,herbivore
1409,37,124,herbivore
1560,102,139,livestock
2219,171,252,livestock
1767,182,245,livestock
1680,221,189,livestock
1792,84,211,livestock
2582,170,270,livestock
2714,97,147,livestock
2118,220,87,carnivore
1566,267,93,livestock
1360,53,112,herbivore
1565,106,147,livestock
1588,267,58,livestock
2727,172,141,livestock
1315,273,163,herbivore
1681,216,187,livestock
1723,184,133,livestock
1825,188,108,livestock
2485,186,102,livestock
1770,172,255,livestock
1614,202,212,livestock
1355,23,275,herbivore
1452,90,54,herbivore
1479,188,60,herbivore
1576,155,134,livestock
1377,168,179,herbivore
1564,104,146,livestock
1493,113,222,herbivore
2574,170,151,livestock
2641,61,143,herbivore
1728,181,134,livestock
1384,10,269,herbivore
1562,96,141,livestock
1675,209,188,livestock
2633,181,147,livestock
1600,265,55,livestock
1607,204,210,livestock
1471,174,155,herbivore
1618,182,151,livestock
1309,24,92,herbivore
1529,228,120,carnivore
1797,90,206,livestock
1664,267,269,livestock
1476,48,95,herbivore
1403,3,101,herbivore
2093,184,247,livestock
1813,187,98,livestock
1595,259,50,livestock
1442,97,133,herbivore
1743,104,157,livestock
1942,173,264,livestock
1727,175,128,livestock
1393,212,275,herbivore
2666,107,136,livestock
1434,41,227,herbivore
1469,76,24,herbivore
1591,257,50,livestock
2416,184,132,livestock
2430,160,130,livestock
1673,216,188,livestock
1581,148,141,livestock
1391,296,211,herbivore
1383,223,75,herbivore
1429,238,269,herbivore
1435,194,187,herbivore
1634,189,191,livestock
1676,211,187,livestock
1730,173,136,livestock
1425,111,224,herbivore
1347,116,144,herbivore
1620,177,157,livestock
2612,257,59,livestock
2563,203,216,livestock
1404,149,38,herbivore
2695,267,242,livestock
1720,166,124,livestock
