a_id,x,y,species
1546,154,176,carnivore
1703,68,143,livestock
1956,9,250,herbivore
1438,272,17,herbivore
1812,199,92,livestock
1370,294,286,herbivore
1437,267,9,herbivore
1662,267,228,livestock
1704,70,154,livestock
1663,270,241,livestock
1646,91,225,livestock
1823,198,106,livestock
1373,195,40,herbivore
1356,25,26,herbivore
1466,152,66,herbivore
1739,108,163,livestock
1625,172,148,livestock
1669,211,189,livestock
1814,194,90,livestock
1388,282,163,herbivore
1570,266,97,livestock
1745,109,166,livestock
1574,162,137,livestock
1338,231,195,herbivore
1636,183,191,livestock
1342,15,246,herbivore
1725,167,136,livestock
1526,300,171,carnivore
1769,172,250,livestock
1504,176,254,carnivore
1374,43,42,herbivore
1807,184,99,livestock
1724,166,124,livestock
1604,201,213,livestock
1341,17,277,herbivore
1753,99,169,livestock
1621,172,154,livestock
1497,49,49,herbivore
1819,184,92,livestock
1521,99,160,carnivore
1539,115,48,carnivore
1670,220,186,livestock
1672,209,194,livestock
1808,185,96,livestock
1661,268,227,livestock
1610,207,212,livestock
2161,187,61,livestock
1548,157,60,carnivore
1357,7,62,herbivore
1580,148,133,livestock
1635,181,190,livestock
1678,218,187,livestock
1336,181,71,herbivore
1612,204,208,livestock
2082,141,109,carnivore
1448,129,222,herbivore
1304,288,111,herbivore
1578,152,137,livestock
1372,8,294,herbivore
1475,144,209,herbivore
1585,148,139,livestock
1783,154,174,livestock
1378,199,156,herbivore
1719,184,124,livestock
1528,57,214,carnivore
1325,88,126,herbivore
1354,256,143,herbivore
1559,96,139,livestock
1818,184,101,livestock
2122,63,215,herbivore
1519,196,51,carnivore
1313,72,182,herbivore
2058,50,263,herbivore
1362,14,172,herbivore
1326,7,61,herbivore
1449,180,76,herbivore
1302,299,177,herbivore
1637,183,183,livestock
1395,103,113,herbivore
1344,241,237,herbivore
1698,74,153,livestock
1811,192,99,livestock
1333,34,121,herbivore
1458,250,270,herbivore
1732,166,133,livestock
2067,201,217,livestock
1714,156,41,livestock
1494,160,164,herbivore
1642,89,231,livestock
1398,74,232,herbivore
1506,13,81,carnivore
1582,152,135,livestock
1535,155,239,carnivore
1319,236,233,herbivore
1409,37,122,herbivore
1560,102,144,livestock
1767,183,250,livestock
1680,220,183,livestock
1792,93,211,livestock
2118,220,85,carnivore
1566,268,98,livestock
1360,53,110,herbivore
1565,98,146,livestock
1588,261,52,livestock
1538,96,186,carnivore
1315,270,160,herbivore
1681,210,192,livestock
1723,184,142,livestock
1825,198,107,livestock
1770,185,244,livestock
1614,202,210,livestock
1355,20,274,herbivore
1452,92,52,herbivore
1479,188,58,herbivore
1576,148,133,livestock
1377,166,173,herbivore
1564,95,135,livestock
1493,112,221,herbivore
1728,174,125,livestock
1384,9,270,herbivore
1562,99,144,livestock
1675,216,189,livestock
1600,258,56,livestock
1543,93,1,carnivore
1607,201,209,livestock
1471,174,155,herbivore
1618,173,153,livestock
1309,26,94,herbivore
1529,230,118,carnivore
1797,93,212,livestock
1664,269,270,livestock
1476,48,97,herbivore
1403,4,106,herbivore
2093,185,252,livestock
1813,181,102,livestock
1595,256,50,livestock
1442,96,132,herbivore
1743,104,166,livestock
1942,183,264,livestock
1381,295,174,herbivore
1727,165,123,livestock
1393,213,272,herbivore
1434,40,234,herbivore
1469,78,26,herbivore
1591,266,55,livestock
