a_id,x,y,species
1703,67,143,livestock
1956,18,247,herbivore
3406,219,188,livestock
1704,70,144,livestock
1823,180,93,livestock
1388,282,159,herbivore
1526,300,173,carnivore
1769,187,254,livestock
3382,96,142,livestock
1374,43,34,herbivore
2775,182,188,livestock
1604,200,211,livestock
3089,181,91,livestock
1497,44,56,herbivore
1670,219,191,livestock
1661,269,237,livestock
1635,190,188,livestock
2536,187,99,livestock
2901,175,283,herbivore
1475,146,213,herbivore
1719,179,125,livestock
1302,300,178,herbivore
1637,186,184,livestock
3359,154,239,herbivore
1458,241,277,herbivore
2950,267,233,livestock
1732,178,141,livestock
1714,150,41,livestock
1642,90,228,livestock
1398,67,233,herbivore
1560,96,148,livestock
1792,88,205,livestock
3438,4,78,livestock
1493,111,218,herbivore
1813,198,105,livestock
1442,98,128,herbivore
2809,153,179,herbivore
3460,172,102,livestock
1743,102,156,livestock
1942,168,270,livestock
1393,215,278,herbivore
1581,163,141,livestock
1435,193,188,herbivore
1620,170,145,livestock
2612,258,59,livestock
1404,149,38,herbivore
2695,270,230,livestock
1488,40,260,herbivore
1324,194,194,herbivore
2514,202,35,herbivore
1701,70,143,livestock
1345,16,124,herbivore
1622,177,150,livestock
1667,266,269,livestock
1303,270,129,herbivore
1463,204,11,herbivore
1334,265,289,herbivore
2379,214,151,herbivore
1496,169,89,herbivore
2467,155,34,livestock
1470,90,268,herbivore
2193,150,145,livestock
2073,145,19,herbivore
1472,110,142,herbivore
1311,98,240,herbivore
1551,104,134,livestock
1420,229,219,herbivore
2287,181,156,livestock
1806,185,105,livestock
1348,30,5,herbivore
1804,96,207,livestock
1567,266,94,livestock
1587,269,54,livestock
1328,80,22,herbivore
1736,181,133,livestock
2338,72,151,livestock
3214,155,255,herbivore
1417,254,79,herbivore
1428,57,62,herbivore
1707,151,33,livestock
2097,66,148,livestock
1853,81,212,livestock
1314,196,186,herbivore
1757,187,254,livestock
1468,117,242,herbivore
3215,84,162,herbivore
1616,170,148,livestock
1401,36,44,herbivore
1477,67,13,herbivore
3107,155,84,herbivore
2847,187,190,livestock
2838,228,128,herbivore
1684,174,267,livestock
3203,19,88,herbivore
1885,64,154,livestock
1682,180,265,livestock
3379,35,267,herbivore
1824,189,95,livestock
1721,178,128,livestock
1715,157,35,livestock
1822,193,93,livestock
1829,179,150,livestock
3191,110,168,livestock
1926,111,163,livestock
1364,107,6,herbivore
1407,239,107,herbivore
3088,100,134,livestock
1558,108,139,livestock
3045,187,184,livestock
1552,97,139,livestock
1400,169,107,herbivore
1498,267,176,herbivore
1878,166,86,herbivore
2310,265,223,livestock
1405,239,28,herbivore
1343,204,293,herbivore
1671,221,185,livestock
1735,174,129,livestock
1455,134,259,herbivore
2668,265,236,livestock
1787,85,215,livestock
1619,176,151,livestock
1742,107,164,livestock
1569,269,97,livestock
1632,182,189,livestock
1641,89,231,livestock
1557,96,138,livestock
1320,194,129,herbivore
1803,86,214,livestock
1992,168,141,livestock
2363,82,212,livestock
1308,149,168,herbivore
2815,41,116,herbivore
1691,186,266,livestock
2156,265,236,livestock
1443,27,164,herbivore
1329,40,8,herbivore
2107,81,125,herbivore
2572,213,124,herbivore
1605,207,209,livestock
1573,163,132,livestock
1713,154,39,livestock
1339,276,20,herbivore
2315,228,60,herbivore
2375,172,264,herbivore
1419,204,290,herbivore
1820,199,107,livestock
1453,219,19,herbivore
1592,257,59,livestock
2224,210,191,livestock
3147,152,131,livestock
1412,212,56,herbivore
1708,148,37,livestock
1456,209,22,herbivore
1801,82,215,livestock
1410,46,134,herbivore
2580,97,170,livestock
1718,181,134,livestock
1399,282,49,herbivore
1451,5,255,herbivore
1480,106,125,herbivore
1608,204,210,livestock
2291,207,254,herbivore
1437,268,16,herbivore
1739,97,170,livestock
3366,263,57,livestock
1625,180,154,livestock
1745,104,165,livestock
2954,112,189,herbivore
1807,194,90,livestock
1724,175,126,livestock
3441,108,279,livestock
1341,22,280,herbivore
1808,193,98,livestock
2279,264,54,livestock
1357,3,62,herbivore
1612,205,216,livestock
1304,282,115,herbivore
1354,267,138,herbivore
1818,183,108,livestock
2122,63,223,herbivore
1313,67,191,herbivore
2675,282,50,herbivore
2996,263,222,livestock
2709,86,39,herbivore
1333,36,119,herbivore
2975,178,129,livestock
1494,157,163,herbivore
1319,231,234,herbivore
1409,35,124,herbivore
1566,266,96,livestock
1681,212,184,livestock
1825,191,107,livestock
1355,25,281,herbivore
1564,95,145,livestock
1384,11,272,herbivore
1562,107,143,livestock
2776,55,198,herbivore
1600,267,49,livestock
1618,174,157,livestock
1797,85,219,livestock
1476,52,87,herbivore
2093,175,243,livestock
1595,263,50,livestock
1591,269,57,livestock
2430,154,136,livestock
1383,225,75,herbivore
1720,177,142,livestock
1706,151,41,livestock
1781,152,178,livestock
1771,182,252,livestock
1766,182,253,livestock
1352,153,152,herbivore
1321,92,288,herbivore
1744,102,163,livestock
2201,210,190,livestock
1639,82,226,livestock
1816,199,106,livestock
1887,82,211,livestock
1729,167,134,livestock
1650,265,227,livestock
1777,149,180,livestock
1624,173,158,livestock
2800,184,96,livestock
1665,259,269,livestock
1555,104,145,livestock
1380,168,171,herbivore
1693,171,269,livestock
1660,266,221,livestock
1584,160,143,livestock
2679,104,137,livestock
1776,147,168,livestock
1323,17,72,herbivore
2131,178,158,livestock
1645,88,224,livestock
1696,68,144,livestock
1737,173,133,livestock
1486,277,130,herbivore
1387,19,73,herbivore
1695,65,154,livestock
1389,199,275,herbivore
1426,196,122,herbivore
1445,54,165,herbivore
1340,247,58,herbivore
2459,170,248,herbivore
1740,110,160,livestock
1358,232,210,herbivore
2473,166,123,livestock
1751,98,169,livestock
1396,42,107,herbivore
2515,265,232,livestock
2059,63,143,livestock
3371,155,141,livestock
2300,94,209,livestock
2174,162,130,livestock
3207,244,191,herbivore
3425,98,144,livestock
2143,112,156,livestock
2294,82,231,livestock
1367,52,73,herbivore
1690,185,269,livestock
1970,85,211,livestock
1629,181,184,livestock
1762,172,252,livestock
3150,134,200,herbivore
