a_id,x,y,species
1613,202,218,livestock
1740,109,166,livestock
1799,87,204,livestock
1417,254,81,herbivore
1428,58,61,herbivore
1358,230,208,herbivore
1707,155,38,livestock
1577,160,141,livestock
1686,171,265,livestock
1644,91,226,livestock
1838,258,217,herbivore
1853,92,206,livestock
1751,98,170,livestock
1396,45,114,herbivore
1450,79,127,herbivore
1314,191,181,herbivore
1583,149,144,livestock
1757,171,245,livestock
2059,75,111,livestock
2004,196,228,herbivore
1422,232,185,herbivore
1503,84,69,carnivore
1457,14,120,herbivore
1722,169,140,livestock
1468,115,242,herbivore
1616,175,158,livestock
1351,73,239,herbivore
1515,146,276,carnivore
1401,40,34,herbivore
2057,26,247,herbivore
1366,163,127,herbivore
1335,221,97,herbivore
1477,67,13,herbivore
1702,68,143,livestock
1361,69,79,herbivore
1473,175,207,herbivore
1594,258,53,livestock
1510,4,188,carnivore
1301,105,245,herbivore
1684,174,266,livestock
1436,204,143,herbivore
1752,112,161,livestock
1465,226,155,herbivore
1652,264,237,livestock
1367,51,72,herbivore
1690,180,270,livestock
1431,37,45,herbivore
1305,142,296,herbivore
1629,181,184,livestock
1363,98,114,herbivore
1327,274,274,herbivore
1460,105,11,herbivore
1970,86,211,livestock
1885,71,143,livestock
1762,180,243,livestock
1627,177,149,livestock
1462,293,282,herbivore
1599,259,45,livestock
1682,177,263,livestock
1765,181,245,livestock
1534,204,174,carnivore
1312,133,199,herbivore
1598,262,48,livestock
1484,197,242,herbivore
1784,156,171,livestock
1331,9,215,herbivore
1310,251,45,herbivore
1824,193,104,livestock
1499,23,164,herbivore
1685,181,264,livestock
1810,185,107,livestock
1721,173,127,livestock
1657,268,223,livestock
1715,159,31,livestock
1747,103,163,livestock
1679,209,184,livestock
1571,153,131,livestock
1775,154,176,livestock
1925,17,123,herbivore
1495,2,283,herbivore
1822,198,101,livestock
1524,232,215,carnivore
1829,176,153,livestock
1926,104,170,livestock
1418,232,190,herbivore
1756,183,245,livestock
1350,28,79,herbivore
1537,75,204,carnivore
1478,2,276,herbivore
1411,102,118,herbivore
1553,107,140,livestock
1638,182,191,livestock
1364,101,6,herbivore
1406,194,272,herbivore
1541,245,273,carnivore
1441,299,299,herbivore
1976,179,123,livestock
1407,235,107,herbivore
1710,152,41,livestock
1516,197,20,carnivore
1408,161,219,herbivore
1330,118,164,herbivore
1531,79,75,carnivore
1558,100,139,livestock
1726,175,139,livestock
1532,67,279,carnivore
1795,89,218,livestock
1716,148,36,livestock
1668,266,270,livestock
1502,62,100,carnivore
1511,169,218,carnivore
1633,181,190,livestock
1791,88,206,livestock
1371,184,260,herbivore
1802,93,218,livestock
1421,281,142,herbivore
1552,98,142,livestock
1755,171,245,livestock
1397,106,190,herbivore
1659,268,231,livestock
1400,169,103,herbivore
1647,87,227,livestock
1498,276,177,herbivore
1878,171,77,herbivore
1547,24,256,carnivore
1424,218,296,herbivore
1640,85,227,livestock
1540,35,280,carnivore
1405,243,36,herbivore
1343,202,295,herbivore
1671,218,189,livestock
1735,168,130,livestock
1630,182,189,livestock
1821,188,107,livestock
1464,90,32,herbivore
1786,147,179,livestock
1455,137,256,herbivore
1856,177,263,livestock
1805,90,203,livestock
1365,253,15,herbivore
1788,81,210,livestock
1945,96,205,livestock
1586,163,135,livestock
1512,53,122,carnivore
1787,85,218,livestock
1651,266,240,livestock
1692,177,267,livestock
1619,177,145,livestock
1359,213,63,herbivore
1742,110,170,livestock
1609,202,215,livestock
1593,254,57,livestock
1590,263,48,livestock
1569,269,96,livestock
1501,86,275,carnivore
1772,156,176,livestock
1654,266,231,livestock
1768,176,248,livestock
1632,184,189,livestock
1712,158,36,livestock
1575,158,134,livestock
1433,281,48,herbivore
1481,34,59,herbivore
1641,84,222,livestock
1557,98,143,livestock
1796,96,219,livestock
2009,119,231,herbivore
1320,203,134,herbivore
1688,183,265,livestock
1803,79,204,livestock
1790,80,217,livestock
1992,175,128,livestock
1800,91,202,livestock
1382,20,58,herbivore
1308,149,168,herbivore
1674,216,190,livestock
1369,171,93,herbivore
1691,180,268,livestock
1518,4,157,carnivore
1603,202,211,livestock
1446,273,118,herbivore
1427,20,111,herbivore
1317,138,19,herbivore
1798,94,210,livestock
1815,195,92,livestock
1746,101,167,livestock
1443,36,163,herbivore
2005,281,209,herbivore
1454,132,4,herbivore
1329,41,3,herbivore
1554,102,136,livestock
1376,46,207,herbivore
1717,159,32,livestock
1563,108,144,livestock
1536,3,250,carnivore
1447,242,293,herbivore
1868,81,126,carnivore
1556,100,144,livestock
1683,179,267,livestock
1605,207,209,livestock
1749,108,163,livestock
1492,187,165,herbivore
1936,243,2,carnivore
1738,110,164,livestock
1573,158,138,livestock
1606,205,218,livestock
1709,151,31,livestock
1589,256,58,livestock
1713,149,33,livestock
1339,270,18,herbivore
1677,210,188,livestock
1459,182,232,herbivore
1731,170,142,livestock
1390,68,77,herbivore
1419,203,291,herbivore
1307,210,262,herbivore
1385,300,165,herbivore
1820,198,102,livestock
