a_id,x,y,species
1546,154,176,carnivore
1703,64,144,livestock
1438,273,16,herbivore
1812,195,98,livestock
1370,295,287,herbivore
1437,265,7,herbivore
1662,263,239,livestock
1704,70,147,livestock
1663,264,221,livestock
1646,92,228,livestock
1823,187,100,livestock
1373,192,41,herbivore
1356,26,27,herbivore
1466,154,66,herbivore
1739,104,170,livestock
1625,176,147,livestock
1669,216,194,livestock
1814,181,98,livestock
1388,283,162,herbivore
1570,269,93,livestock
1745,101,155,livestock
1574,151,137,livestock
1338,227,197,herbivore
1636,182,188,livestock
1342,10,249,herbivore
1725,176,126,livestock
1526,297,170,carnivore
1769,178,251,livestock
1504,176,254,carnivore
1374,40,45,herbivore
1807,193,98,livestock
1724,175,142,livestock
1604,209,219,livestock
1341,15,279,herbivore
1753,104,161,livestock
1621,178,147,livestock
1497,45,47,herbivore
1819,185,95,livestock
1521,99,160,carnivore
1539,114,51,carnivore
1670,214,193,livestock
1672,218,188,livestock
1808,185,99,livestock
1661,263,242,livestock
1610,204,211,livestock
1548,155,60,carnivore
1357,10,61,herbivore
1580,162,130,livestock
1635,188,186,livestock
1678,209,192,livestock
1336,180,72,herbivore
1612,200,216,livestock
1448,130,227,herbivore
1304,288,113,herbivore
1578,149,133,livestock
1372,10,294,herbivore
1475,142,203,herbivore
1585,158,131,livestock
1783,156,178,livestock
1378,200,155,herbivore
1719,171,125,livestock
1528,55,214,carnivore
1325,90,124,herbivore
1354,255,142,herbivore
1559,107,135,livestock
1818,187,100,livestock
1519,196,53,carnivore
1313,73,181,herbivore
1362,16,172,herbivore
1326,4,62,herbivore
1449,177,75,herbivore
1302,300,180,herbivore
1637,186,189,livestock
1395,104,110,herbivore
1344,239,237,herbivore
1698,64,147,livestock
1811,195,107,livestock
1333,34,119,herbivore
1458,250,268,herbivore
1732,176,142,livestock
1714,152,33,livestock
1494,162,164,herbivore
1642,82,226,livestock
1398,79,233,herbivore
1506,12,82,carnivore
1582,148,139,livestock
1535,157,239,carnivore
1319,235,236,herbivore
1409,34,121,herbivore
1560,105,139,livestock
1767,182,248,livestock
1680,216,189,livestock
1792,88,213,livestock
1566,266,96,livestock
1360,50,111,herbivore
1565,97,136,livestock
1588,258,55,livestock
1538,94,188,carnivore
1315,270,168,herbivore
1681,221,183,livestock
1723,173,140,livestock
1825,185,106,livestock
1770,181,246,livestock
1614,211,216,livestock
1355,17,271,herbivore
1452,87,53,herbivore
1479,191,55,herbivore
1576,158,135,livestock
1377,162,173,herbivore
1564,99,147,livestock
1493,112,221,herbivore
1759,172,251,livestock
1728,184,142,livestock
1384,8,269,herbivore
1562,106,145,livestock
1675,217,189,livestock
1600,262,58,livestock
1543,92,2,carnivore
1607,208,217,livestock
1471,174,155,herbivore
1618,171,147,livestock
