a_id,x,y,species
1703,63,150,livestock
1956,16,245,herbivore
1704,74,147,livestock
1823,183,100,livestock
1388,282,161,herbivore
1526,299,172,carnivore
1769,174,258,livestock
1374,41,34,herbivore
2775,190,189,livestock
1604,204,215,livestock
3089,216,58,livestock
1497,48,54,herbivore
1670,211,182,livestock
1661,267,228,livestock
1635,184,190,livestock
2536,198,96,livestock
2901,175,287,herbivore
1475,146,213,herbivore
1719,171,138,livestock
1302,300,176,herbivore
1637,185,187,livestock
1458,245,273,herbivore
2950,270,223,livestock
1732,180,141,livestock
1714,152,41,livestock
1642,88,232,livestock
1398,70,236,herbivore
1560,99,142,livestock
1792,88,206,livestock
1493,112,219,herbivore
1813,197,108,livestock
1442,98,130,herbivore
2809,153,179,herbivore
1743,107,156,livestock
1942,177,265,livestock
1393,213,278,herbivore
1581,158,142,livestock
1435,193,186,herbivore
1620,180,158,livestock
2612,267,54,livestock
1404,149,38,herbivore
2695,266,240,livestock
1488,40,262,herbivore
1324,194,194,herbivore
2514,199,36,herbivore
1701,71,148,livestock
1345,13,127,herbivore
1622,182,149,livestock
1667,269,270,livestock
1303,273,128,herbivore
1463,203,16,herbivore
1334,261,289,herbivore
2379,218,149,herbivore
1496,172,86,herbivore
2467,153,40,livestock
1470,86,266,herbivore
2193,156,130,livestock
2073,145,19,herbivore
1472,112,144,herbivore
1311,100,242,herbivore
1551,97,145,livestock
1420,236,218,herbivore
2287,175,152,livestock
1806,196,107,livestock
1348,29,2,herbivore
1804,95,202,livestock
1567,269,98,livestock
1587,259,51,livestock
1328,82,18,herbivore
1736,180,124,livestock
2338,73,143,livestock
1417,257,80,herbivore
1428,59,64,herbivore
1707,152,34,livestock
2097,71,145,livestock
1853,94,219,livestock
1314,197,185,herbivore
1757,187,242,livestock
1468,118,243,herbivore
1616,180,146,livestock
1401,34,42,herbivore
1477,65,13,herbivore
2847,186,182,livestock
2838,228,128,herbivore
1684,185,270,livestock
1885,63,143,livestock
1682,169,267,livestock
1824,182,103,livestock
1721,180,132,livestock
1715,158,35,livestock
1822,197,99,livestock
1829,179,149,livestock
1926,111,169,livestock
1364,104,7,herbivore
1407,238,108,herbivore
3088,245,245,livestock
1558,103,140,livestock
3045,185,183,livestock
1552,101,138,livestock
1400,169,109,herbivore
1498,271,174,herbivore
1878,168,86,herbivore
2310,270,222,livestock
1405,239,30,herbivore
1343,205,292,herbivore
1671,217,193,livestock
1735,177,137,livestock
1455,133,258,herbivore
2668,267,222,livestock
1787,92,201,livestock
1619,171,146,livestock
1742,103,162,livestock
1569,269,98,livestock
1632,183,189,livestock
1641,83,229,livestock
1557,105,147,livestock
1320,197,132,herbivore
1803,81,203,livestock
1992,166,138,livestock
2363,90,204,livestock
1308,149,168,herbivore
2815,40,119,herbivore
1691,169,269,livestock
2156,266,236,livestock
1443,27,164,herbivore
1329,40,6,herbivore
2107,84,124,herbivore
2572,212,127,herbivore
1605,210,208,livestock
1573,148,144,livestock
1713,148,42,livestock
1339,275,19,herbivore
2315,224,62,herbivore
2375,172,264,herbivore
1419,203,289,herbivore
1820,185,97,livestock
1453,217,21,herbivore
