a_id,x,y,species
1546,154,176,carnivore
1703,74,145,livestock
1956,15,244,herbivore
1438,271,16,herbivore
1812,184,101,livestock
2291,210,249,herbivore
1370,291,277,herbivore
1437,272,14,herbivore
1662,266,243,livestock
1704,69,149,livestock
1663,263,241,livestock
1646,83,222,livestock
1823,180,98,livestock
1373,196,37,herbivore
1356,29,22,herbivore
1466,156,70,herbivore
1739,107,171,livestock
1625,170,147,livestock
1669,218,192,livestock
1814,193,97,livestock
1388,282,161,herbivore
1570,266,93,livestock
1745,111,164,livestock
1574,158,138,livestock
1338,232,204,herbivore
1636,182,188,livestock
1342,16,247,herbivore
1725,174,142,livestock
1526,297,172,carnivore
1769,173,249,livestock
1504,176,254,carnivore
1374,42,37,herbivore
1807,185,97,livestock
1724,167,142,livestock
2775,185,185,livestock
1604,207,218,livestock
1341,18,278,herbivore
1753,105,162,livestock
1621,174,150,livestock
1497,48,50,herbivore
1819,195,99,livestock
1521,99,160,carnivore
2234,179,283,herbivore
1670,213,193,livestock
1672,215,187,livestock
1808,199,100,livestock
1661,267,221,livestock
1610,208,209,livestock
2161,171,146,livestock
2279,263,57,livestock
1357,7,60,herbivore
2724,257,47,livestock
1580,157,141,livestock
1635,184,187,livestock
1678,219,182,livestock
1336,180,68,herbivore
1612,201,209,livestock
2082,143,111,carnivore
2241,190,183,livestock
1448,132,223,herbivore
2536,181,106,livestock
1304,281,114,herbivore
1578,156,141,livestock
1372,1,297,herbivore
1475,148,213,herbivore
1585,161,145,livestock
1783,149,175,livestock
1378,197,152,herbivore
1719,169,134,livestock
1325,92,124,herbivore
1354,262,141,herbivore
1559,96,144,livestock
1818,187,92,livestock
2122,63,219,herbivore
2756,216,182,livestock
1313,69,187,herbivore
2058,50,269,herbivore
1362,16,172,herbivore
1326,5,63,herbivore
1449,181,75,herbivore
2675,281,49,herbivore
1302,298,176,herbivore
2709,88,45,herbivore
1637,181,183,livestock
1395,104,120,herbivore
1344,240,234,herbivore
1698,72,151,livestock
1811,195,102,livestock
1333,33,118,herbivore
1458,248,270,herbivore
1732,184,124,livestock
2067,206,219,livestock
1714,157,38,livestock
1494,158,166,herbivore
1642,83,227,livestock
1398,71,235,herbivore
2301,181,98,livestock
1582,162,140,livestock
1319,230,231,herbivore
1409,37,124,herbivore
1560,95,135,livestock
2219,182,254,livestock
1767,173,251,livestock
1680,217,186,livestock
1792,92,212,livestock
2582,185,268,livestock
2714,103,148,livestock
2118,220,87,carnivore
1566,269,98,livestock
1360,54,111,herbivore
1565,94,137,livestock
1588,254,55,livestock
2727,182,140,livestock
1315,273,161,herbivore
1681,215,192,livestock
1723,169,136,livestock
1825,183,91,livestock
2485,185,97,livestock
1770,177,243,livestock
1614,204,212,livestock
1355,24,274,herbivore
1452,90,54,herbivore
1479,190,60,herbivore
1576,152,139,livestock
1377,168,179,herbivore
1564,95,139,livestock
1493,114,221,herbivore
2574,181,153,livestock
2641,61,141,herbivore
1728,169,134,livestock
1384,9,270,herbivore
1562,108,138,livestock
2776,56,197,herbivore
1675,219,192,livestock
2633,169,156,livestock
1600,257,56,livestock
1607,203,219,livestock
1471,174,155,herbivore
1618,169,158,livestock
1309,25,91,herbivore
1529,227,121,carnivore
1797,92,216,livestock
1664,259,270,livestock
1476,48,93,herbivore
1403,1,101,herbivore
2093,183,250,livestock
1813,183,95,livestock
1595,254,52,livestock
1442,96,132,herbivore
2809,153,179,herbivore
1743,109,159,livestock
1942,169,268,livestock
1727,174,137,livestock
1393,213,276,herbivore
2666,105,137,livestock
1434,42,228,herbivore
1469,76,26,herbivore
1591,256,53,livestock
2416,171,137,livestock
2430,154,142,livestock
1673,219,188,livestock
1581,151,131,livestock
1391,297,210,herbivore
1383,224,74,herbivore
1429,239,270,herbivore
1435,194,187,herbivore
1634,182,184,livestock
1676,218,187,livestock
1730,175,137,livestock
1425,110,225,herbivore
1347,116,144,herbivore
1620,172,145,livestock
2612,255,55,livestock
2563,211,218,livestock
1404,149,38,herbivore
2695,268,224,livestock
1720,165,127,livestock
1414,48,83,herbivore
1875,94,139,livestock
1394,73,267,herbivore
1761,175,246,livestock
1748,110,156,livestock
1488,41,261,herbivore
2433,180,141,livestock
1617,176,145,livestock
1763,183,252,livestock
1706,159,42,livestock
1337,262,192,herbivore
1771,176,243,livestock
1781,150,167,livestock
1766,178,246,livestock
1483,70,191,herbivore
2611,56,118,herbivore
1324,195,197,herbivore
1793,94,212,livestock
1352,151,152,herbivore
2079,182,136,livestock
2283,205,102,herbivore
1631,183,190,livestock
2514,198,37,herbivore
1701,65,147,livestock
1705,66,148,livestock
1345,14,128,herbivore
1597,266,52,livestock
1321,94,288,herbivore
1666,260,269,livestock
1623,170,146,livestock
1622,177,158,livestock
1744,98,169,livestock
2201,218,184,livestock
1779,157,181,livestock
1639,89,222,livestock
1816,194,108,livestock
1667,265,270,livestock
1887,88,209,livestock
1379,64,203,herbivore
1729,165,125,livestock
1303,272,129,herbivore
1650,268,224,livestock
1463,202,15,herbivore
1656,267,230,livestock
1777,159,173,livestock
1334,261,285,herbivore
1653,269,225,livestock
2379,217,148,herbivore
2551,255,59,livestock
1416,13,202,herbivore
1482,169,217,herbivore
1624,172,152,livestock
1413,49,280,herbivore
2800,195,91,livestock
1665,262,269,livestock
1496,170,86,herbivore
1555,104,134,livestock
1380,168,177,herbivore
1470,85,267,herbivore
2467,155,42,livestock
1649,85,228,livestock
1693,175,266,livestock
1660,267,229,livestock
1440,287,114,herbivore
2600,113,161,livestock
1758,187,249,livestock
2193,160,131,livestock
2073,146,20,herbivore
1584,157,140,livestock
1700,66,154,livestock
1332,87,45,herbivore
1415,3,152,herbivore
1734,173,130,livestock
1615,170,147,livestock
2679,101,147,livestock
1776,147,174,livestock
1472,112,144,herbivore
1323,17,74,herbivore
2131,182,147,livestock
2500,179,102,carnivore
1485,140,17,herbivore
1645,87,224,livestock
1322,10,141,herbivore
2289,83,163,herbivore
2827,191,294,livestock
2027,186,183,livestock
1311,99,243,herbivore
1551,103,146,livestock
1490,57,173,herbivore
2003,187,95,livestock
1697,73,148,livestock
1643,82,230,livestock
1420,238,218,herbivore
1696,74,153,livestock
2287,176,148,livestock
2512,115,232,herbivore
1474,185,101,herbivore
1806,194,104,livestock
1568,270,93,livestock
1348,30,3,herbivore
1626,182,148,livestock
2603,8,136,herbivore
1737,174,133,livestock
1486,277,134,herbivore
1423,291,164,herbivore
1353,112,282,herbivore
1694,74,151,livestock
1387,20,74,herbivore
1695,69,154,livestock
1804,81,211,livestock
1567,269,93,livestock
1389,197,275,herbivore
1587,264,54,livestock
1328,80,16,herbivore
1349,72,157,herbivore
1386,269,67,herbivore
1426,194,118,herbivore
1445,56,165,herbivore
1306,179,225,herbivore
1782,161,174,livestock
1467,163,112,herbivore
1736,183,129,livestock
1340,249,58,herbivore
1794,92,205,livestock
2459,170,246,herbivore
1596,258,58,livestock
1962,153,36,livestock
1316,87,167,herbivore
1613,203,214,livestock
2338,70,146,livestock
2292,21,255,herbivore
1740,110,167,livestock
1799,92,212,livestock
1417,257,78,herbivore
2148,190,117,herbivore
1428,60,61,herbivore
2567,85,232,livestock
1358,231,211,herbivore
1707,157,33,livestock
1577,153,137,livestock
2097,70,146,livestock
1686,173,267,livestock
1644,82,222,livestock
1838,261,214,herbivore
2473,172,136,livestock
1853,96,203,livestock
1751,111,157,livestock
1396,41,110,herbivore
1450,84,128,herbivore
1314,196,182,herbivore
1583,162,132,livestock
1757,174,257,livestock
2059,66,149,livestock
2515,264,222,livestock
2468,150,135,livestock
2004,194,222,herbivore
1422,234,187,herbivore
1457,15,113,herbivore
1722,182,129,livestock
1468,119,244,herbivore
2300,79,201,livestock
1616,181,152,livestock
1351,65,241,herbivore
2174,150,144,livestock
1401,38,40,herbivore
2057,32,247,herbivore
1366,161,125,herbivore
1335,219,101,herbivore
1477,65,15,herbivore
1702,69,148,livestock
1361,69,81,herbivore
2154,254,50,livestock
1473,173,201,herbivore
1594,257,58,livestock
2838,230,126,herbivore
1301,106,246,herbivore
1684,184,270,livestock
2143,104,169,livestock
2294,90,224,livestock
1436,202,145,herbivore
1752,101,168,livestock
1465,233,152,herbivore
1652,264,226,livestock
1367,54,73,herbivore
1690,170,270,livestock
1431,40,44,herbivore
1305,138,292,herbivore
1629,188,185,livestock
