a_id,x,y,species
1546,154,176,carnivore
1703,69,153,livestock
1956,8,251,herbivore
1438,271,16,herbivore
1812,196,95,livestock
1370,296,286,herbivore
1437,264,6,herbivore
1662,266,237,livestock
1704,72,147,livestock
1663,263,236,livestock
1646,91,226,livestock
1823,193,98,livestock
1373,191,42,herbivore
1356,25,26,herbivore
1466,155,65,herbivore
1739,101,157,livestock
1625,182,146,livestock
1669,216,182,livestock
1814,198,101,livestock
1388,283,162,herbivore
1570,268,98,livestock
1745,106,158,livestock
1574,158,138,livestock
1338,227,197,herbivore
1636,190,185,livestock
1342,11,248,herbivore
1725,175,138,livestock
1526,298,169,carnivore
1769,174,257,livestock
1504,176,254,carnivore
1374,41,44,herbivore
1807,196,106,livestock
1724,172,127,livestock
1604,209,218,livestock
1341,14,278,herbivore
1753,105,156,livestock
1621,176,153,livestock
1497,47,47,herbivore
1819,183,100,livestock
1521,99,160,carnivore
1539,115,50,carnivore
1670,217,188,livestock
1672,218,188,livestock
1808,185,108,livestock
1661,269,233,livestock
1610,202,219,livestock
1548,156,59,carnivore
1357,11,60,herbivore
1580,156,132,livestock
1635,181,190,livestock
1678,215,194,livestock
1336,182,72,herbivore
1612,207,212,livestock
1448,130,227,herbivore
1304,287,114,herbivore
1578,158,136,livestock
1372,9,295,herbivore
1475,143,204,herbivore
1585,163,140,livestock
1783,158,177,livestock
1378,200,155,herbivore
1719,175,131,livestock
1528,55,214,carnivore
1325,89,125,herbivore
1354,255,142,herbivore
1559,107,140,livestock
1818,180,97,livestock
1519,197,54,carnivore
1313,72,182,herbivore
1362,17,171,herbivore
1326,5,61,herbivore
1449,177,77,herbivore
1302,300,180,herbivore
1637,188,189,livestock
1395,105,111,herbivore
1344,238,238,herbivore
1698,67,144,livestock
1811,198,94,livestock
1333,35,120,herbivore
1458,251,269,herbivore
1732,174,135,livestock
1714,157,35,livestock
1494,163,163,herbivore
1642,92,226,livestock
1398,78,232,herbivore
1506,13,83,carnivore
1582,150,138,livestock
1535,156,240,carnivore
1319,236,235,herbivore
1409,33,122,herbivore
1560,94,142,livestock
1767,174,243,livestock
1680,215,188,livestock
1792,83,207,livestock
1566,270,94,livestock
1360,50,111,herbivore
1565,100,138,livestock
1588,256,54,livestock
1538,95,187,carnivore
1315,270,166,herbivore
1681,210,188,livestock
1723,176,142,livestock
1825,199,105,livestock
1770,186,250,livestock
1614,209,214,livestock
1355,18,272,herbivore
1452,88,52,herbivore
1479,190,54,herbivore
1576,151,141,livestock
1377,162,173,herbivore
1564,98,137,livestock
1493,111,220,herbivore
1759,183,245,livestock
1728,180,138,livestock
1384,8,269,herbivore
1562,103,145,livestock
1675,221,189,livestock
1600,263,49,livestock
1543,93,1,carnivore
1607,206,213,livestock
1471,174,155,herbivore
1618,172,155,livestock
1309,24,94,herbivore
1529,233,119,carnivore
1797,90,211,livestock
1664,261,269,livestock
1476,46,97,herbivore
1403,1,107,herbivore
1813,191,97,livestock
1595,266,56,livestock
1442,95,133,herbivore
1743,112,155,livestock
1942,173,269,livestock
1381,294,171,herbivore
1727,173,131,livestock
1393,212,273,herbivore
1434,39,237,herbivore
1469,81,27,herbivore
1591,260,55,livestock
1673,218,192,livestock
1581,161,132,livestock
1391,296,211,herbivore
1383,224,72,herbivore
1429,232,269,herbivore
1435,197,184,herbivore
1634,188,189,livestock
1676,216,185,livestock
1730,170,131,livestock
1425,107,222,herbivore
1347,114,144,herbivore
1620,179,147,livestock
1404,149,38,herbivore
1720,178,130,livestock
1414,53,84,herbivore
1875,105,144,livestock
1544,52,94,carnivore
1394,70,266,herbivore
1761,185,245,livestock
1748,111,157,livestock
1523,162,185,carnivore
1488,42,258,herbivore
1520,300,175,carnivore
1617,176,149,livestock
1763,184,251,livestock
1706,156,31,livestock
1337,260,190,herbivore
1771,175,256,livestock
1781,155,175,livestock
1766,175,247,livestock
1483,70,193,herbivore
1324,192,200,herbivore
1793,79,213,livestock
1352,147,150,herbivore
1631,188,191,livestock
1701,73,154,livestock
1542,127,172,carnivore
1705,65,151,livestock
1345,12,128,herbivore
1597,261,52,livestock
1321,94,290,herbivore
1666,262,270,livestock
1623,177,158,livestock
1505,196,43,carnivore
1622,171,152,livestock
1744,108,167,livestock
1779,147,175,livestock
1639,89,222,livestock
1816,187,94,livestock
1667,264,269,livestock
1887,80,215,livestock
1379,66,199,herbivore
1729,180,125,livestock
1303,269,128,herbivore
1507,272,150,carnivore
1650,263,238,livestock
1463,197,10,herbivore
1656,270,236,livestock
1777,150,175,livestock
1334,263,293,herbivore
1653,266,239,livestock
1416,13,202,herbivore
1482,170,212,herbivore
1624,174,157,livestock
1413,52,279,herbivore
1665,270,270,livestock
1496,173,93,herbivore
1555,107,143,livestock
1525,72,241,carnivore
1380,164,173,herbivore
1550,39,218,carnivore
1470,87,275,herbivore
1649,89,228,livestock
1693,171,263,livestock
